"Frequency (temp=0,vdd=1.62) X","Frequency (temp=0,vdd=1.62) Y","Frequency (temp=0,vdd=1.8) X","Frequency (temp=0,vdd=1.8) Y","Frequency (temp=0,vdd=1.98) X","Frequency (temp=0,vdd=1.98) Y","Frequency (temp=27,vdd=1.62) X","Frequency (temp=27,vdd=1.62) Y","Frequency (temp=27,vdd=1.8) X","Frequency (temp=27,vdd=1.8) Y","Frequency (temp=27,vdd=1.98) X","Frequency (temp=27,vdd=1.98) Y","Frequency (temp=40,vdd=1.62) X","Frequency (temp=40,vdd=1.62) Y","Frequency (temp=40,vdd=1.8) X","Frequency (temp=40,vdd=1.8) Y","Frequency (temp=40,vdd=1.98) X","Frequency (temp=40,vdd=1.98) Y","Frequency (temp=80,vdd=1.62) X","Frequency (temp=80,vdd=1.62) Y","Frequency (temp=80,vdd=1.8) X","Frequency (temp=80,vdd=1.8) Y","Frequency (temp=80,vdd=1.98) X","Frequency (temp=80,vdd=1.98) Y"
0,1854906909.698232,0,2043249301.788784,0,2197310564.814054,0,1800353241.323439,0,1978557212.155778,0,2125105377.619947,0,1775554824.810777,0,1948997624.137844,0,2091975420.601218,0,1703761096.143285,0,1863240033.050876,0,1995426348.097952
0.2,1622842023.871584,0.2,1845100895.251638,0.2,2027762289.766589,0.2,1583072753.728454,0.2,1792546987.589284,0.2,1965332410.946302,0.2,1565208995.997355,0.2,1768608721.871934,0.2,1936899270.536726,0.2,1513271322.791659,0.2,1699355793.6388,0.2,1854028883.437479
0.4,1368636721.866786,0.4,1624475893.814237,0.4,1837738295.614247,0.4,1344774231.394858,0.4,1585394348.373324,0.4,1786479135.873498,0.4,1334002999.978341,0.4,1567740344.882212,0.4,1763305451.251269,0.4,1303651822.302854,0.4,1516690824.923729,0.4,1695789694.140361
0.6,1108760499.978944,0.6,1387594263.328666,0.6,1628831581.243744,0.6,1100421185.630538,0.6,1362663785.111837,0.6,1590107020.071002,0.6,1096793488.932667,0.6,1351641282.866762,0.6,1572599880.105005,0.6,1086620312.975693,0.6,1319796655.220288,0.6,1521978660.118446
0.8,884225449.6406574,0.8,1153789415.268048,0.8,1409841216.694045,0.8,885829014.8766462,0.8,1141897100.886914,0.8,1383570057.808838,0.8,886753894.3039299,0.8,1136709864.426076,0.8,1371688469.1027,0.8,890114078.3169563,0.8,1122012017.272547,0.8,1338235570.868044
1,753351857.8112991,1,957801935.4434243,1,1199085661.595047,1,751108030.2560725,1,953764891.5262285,1,1184056860.381707,1,750749755.6921455,1,952399912.1485809,1,1177401433.576534,1,751730875.3889621,1,948600060.6776468,1,1158589020.6378
1.2,724974056.7498223,1.2,849631804.8545125,1.2,1026475987.009629,1.2,714763079.8723303,1.2,841002760.7471714,1.2,1017782017.180387,1.2,710387217.1861192,1.2,837931294.5053102,1.2,1014112812.51352,1.2,699814584.3113741,1.2,830432914.9262471,1.2,1004393764.747715
